Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\IoTa Core\Project Outputs for iotaCore\Pick Place for iotaCore.csv

========================================================================================================================
File Design Information:

Date:       29/12/24
Time:       15:57
Revision:   8c05791d24833ebb22ecdcce5a720850f6396e3f
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U1","ESP32-S3-MINI-1-N8","TopLayer","ESP32-S3-MINI-1-N8","24.1250","35.2250","0","SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
"TP6","TPAD6R","TopLayer","TP06R","14.2000","12.5000","90","0.6mm round"
"TP5","TPAD6R","TopLayer","TP06R","34.3250","13.7000","90","0.6mm round"
"TP4","TPAD6R","TopLayer","TP06R","36.1500","15.1000","90","0.6mm round"
"TP3","TPAD6R","TopLayer","TP06R","29.0750","15.2000","90","0.6mm round"
"TP1","TPAD6R","TopLayer","TP06R","10.5750","16.1250","90","0.6mm round"
"TP2","TPAD6R","TopLayer","TP06R","18.2000","12.3750","90","0.6mm round"
"R17","Resistor 4.7k +/-1% 0603 100 mW","TopLayer","RESC1608X55X25ML10T15","14.2500","36.8250","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"R16","Resistor 4.7k +/-1% 0603 100 mW","TopLayer","RESC1608X55X25ML10T15","12.6750","36.8250","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"R13","Resistor 4.7k +/-1% 0603 100 mW","TopLayer","RESC1608X55X25ML10T15","10.5250","31.9250","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"C13","Capacitor 10 uF +/- 0.25 uF 50 V 0603","TopLayer","CAPC1608X87X35NL15T15","10.4500","25.9250","0","Chip Capacitor, 10 uF, +/- 0.25 uF, 50 V, 0603 (1608 Metric)"
"B4","AP2112K-3.3TRG1","TopLayer","SOT95P270X145-5N","11.4750","28.4500","180","600mA 3.3V LDO Regulator Enable SOT23-5 DiodesZetex AP2112K-3.3TRG1, LDO Voltage Regulator, 3.3 V +/-1.5%, 2.5  6 Vin, 5-Pin SOT-23"
"R6","Resistor 1k +/-1% 0603 100 mW","TopLayer","RESC1608X55X25ML10T15","33.6250","25.6250","270","Chip Resistor, 1 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"R5","Resistor 1k +/-1% 0603 100 mW","TopLayer","RESC1608X55X25ML10T15","27.4000","25.6500","90","Chip Resistor, 1 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"R4","Resistor 1k +/-1% 0603 100 mW","TopLayer","RESC1608X55X25ML10T15","16.8750","20.2000","270","Chip Resistor, 1 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"R8","Resistor 100k +/-1% 0603 100 mW","TopLayer","RESC1608X55X25ML10T15","26.4000","18.0500","90","Chip Resistor, 100 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"R2","Resistor 100k +/-1% 0603 100 mW","TopLayer","RESC1608X55X25ML10T15","30.6000","25.6250","270","Chip Resistor, 100 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"Q1","DMG2305UX-7","TopLayer","FP-SOT23-MFG","21.2000","17.0750","90","Power Field-Effect Transistor, 4.2A I(D), 20V, 0.052ohm, 1-Element, P-Channel, Silicon, Metal-oxide Semiconductor FET"
"PWR","HSMA-C190","TopLayer","AVAG-HSMX-C190_V","15.3499","20.2251","90","LED Uni-Color Amber, 60 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"SIG","HSMA-C190","TopLayer","AVAG-HSMX-C190_V","32.1251","25.6249","270","LED Uni-Color Amber, 60 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
